,,,,,,,
,,,,,,,
Grote Zaal,,,,,,,
,,,,,,,
Device,Usage,Number of units,Total,,Aansluiting,Vermogen,
Audio,,,,,125,86250,
LA8,3100,6,18600,,,,
LA12X,3300,2,6600,,16,11040,
LA12X,2200,2,4400,,,,
A&H Dlive,300,2,600,,,,
A&H DM64,300,1,300,,,,
,,,,,Beschikbaar,97290,
Licht,,,,,Verbruikt,85490,
Dimmer,1000,10,10000,,Over,11800,
K5 LED Wash,555,21,11655,,,,
Mythos 2,700,21,14700,,Groepen,23.7472222222,
Atomic 3000,1840,8,14720,,,,
GrandMA3 Light,300,1,300,,,,
GrandMA3 8p Node,15,1,15,,,,
,,,,,,,
Backline,3600,1,3600,,,,
,,,,,,,
,,,,,,,
Kleine Zaal,,,,,,,
,,,,,Aansluiting,Vermogen,
Audio,,,,,32,22080,
LA8,3100,6,18600,,16,11040,
LA8,2200,3,6600,,63,43470,(Uit grote zaal)
A&H Dlive,300,2,600,,,,
A&H DM64,300,1,300,,Beschikbaar,76590,
,,,,,Verbruikt,56165,
Licht,,,,,Over,20425,
Blinders,1000,7,7000,,,,
K5 LED Wash,555,14,7770,,Groepen,15.6013888889,
Mythos 2,700,11,7700,,,,
Atomic 3000,1840,2,3680,,,,
GrandMA3 Light,300,1,300,,,,
GrandMA3 2p Node,15,1,15,,,,
,,,,,,,
Backline,3600,1,3600,,,,
